2020年临海市事业单位公开招聘工作人员一览表,,,,,,,,,,,,,,,
序号,招聘单位主管部门,招聘单位,"单位类别
与预算管理方式","招聘
岗位","岗位
类别","招聘
人数",学历   要求,学位    要求,专业要求,其他要求和有关说明,笔试科目及分数比例,面试方式及分数比例,技能测试及分数比例,咨询电话,备注
79,临海市杜桥镇人民政府,临海市杜桥镇社会事业服务中心,"公益一类
财政全额补助",建设D,专技,1,本科及以上,,土木工程、市政工程、给排水科学与工程、给水排水工程、桥梁与隧道工程、道路桥梁与渡河工程,"1.35周岁及以下；
2.临海范围；
3.工作地点：市住房和城乡建设局东部事务中心。",《综合素质测试》占50%,结构化面试占50%,,0576-85501813,
80,临海市杜桥镇人民政府,临海市杜桥镇社会事业服务中心,"公益一类
财政全额补助",建设E,专技,1,本科及以上,,城市规划、城乡规划、城镇建设、环境设计、人文地理与城乡规划、城市规划与设计、城乡规划学、建筑学,"1.35周岁及以下；
2.临海范围；
3.工作地点：市住房和城乡建设局东部事务中心。",《综合素质测试》占50%,结构化面试占50%,,0576-85501813,
81,临海市杜桥镇人民政府,临海市杜桥镇社会事业服务中心,"公益一类
财政全额补助",文化,管理,2,本科及以上,,一级学科：戏剧与影视学类、音乐与舞蹈学类,"1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85501813,
82,临海市杜桥镇人民政府,临海市杜桥镇农业综合服务中心,"公益一类
财政全额补助",林特,专技,1,专科及以上,,一级学科：林学类、森林资源类、林业工程类、林业技术类,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85501813,
83,临海市白水洋镇人民政府,临海市白水洋镇农业综合服务中心,"公益一类
财政全额补助",农机,专技,1,专科及以上,,"一级学科：机械设计制造类、机电设备类、农业工程类、机械类、机械工程类；
二级学科：自动化","1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85883211,
84,临海市白水洋镇人民政府,临海市白水洋镇经济建设服务中心,"公益一类
财政全额补助",安监,管理,1,本科及以上,,专业不限,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85883211,
85,临海市东塍镇人民政府,临海市东塍镇经济建设服务中心或社会事业服务中心,"公益一类
财政全额补助",企业管理或劳动保障A,专技,1,本科及以上,,专业不限,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85990550,按总成绩从高分到低分依次择岗。
86,临海市东塍镇人民政府,临海市东塍镇经济建设服务中心或社会事业服务中心,"公益一类
财政全额补助",企业管理或劳动保障B,专技,1,本科及以上,,专业不限,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85990550,
87,临海市桃渚镇人民政府,临海市桃渚镇经济建设服务中心,"公益一类
财政全额补助",企业管理,管理,1,专科及以上,,专业不限,"1.35周岁及以下；
2.浙江范围；
3.面向临海市入伍的全日制普通高校毕业生退役士兵。",《综合素质测试》占50%,结构化面试占50%,,0576-85797236,
88,临海市桃渚镇人民政府,临海市桃渚镇农业综合服务中心,"公益一类
财政全额补助",农机,专技,1,本科及以上,,"一级学科：农业工程类、机械类、机械工程类；
二级学科：自动化","1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85797236,
89,临海市桃渚镇人民政府,临海市桃渚镇社会事业服务中心,"公益一类
财政全额补助",文化,管理,1,本科及以上,,"一级学科：中国语言文学类、新闻传播学类；
二级学科：文化产业管理、公共事业管理","1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85797236,
90,临海市汛桥镇人民政府,临海市汛桥镇社会事业服务中心,"公益一类
财政全额补助",劳动保障,专技,1,专科及以上,,专业不限,"1.35周岁及以下；
2.浙江范围；
3.面向临海市入伍的全日制普通高校毕业生退役士兵。",《综合素质测试》占50%,结构化面试占50%,,0576-85015001,
91,临海市沿江镇人民政府,临海市沿江镇经济建设服务中心或社会事业服务中心,"公益一类
财政全额补助",企业管理或劳动保障A,专技,1,本科及以上,,专业不限,"1.男性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85993593,按总成绩从高分到低分依次择岗。
92,临海市沿江镇人民政府,临海市沿江镇经济建设服务中心或社会事业服务中心,"公益一类
财政全额补助",企业管理或劳动保障B,专技,1,本科及以上,,专业不限,"1.女性；
2.35周岁及以下；
3.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85993593,
93,临海市小芝镇人民政府,临海市小芝镇社会事业服务中心,"公益一类
财政全额补助",文化,专技,1,本科及以上,,"一级学科：中国语言文学类、新闻传播学类；
二级学科：文化产业管理、公共事业管理","1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-89391530,
94,临海市小芝镇人民政府,临海市小芝镇农业综合服务中心,"公益一类
财政全额补助",农科,专技,1,专科及以上,,"学科门类：农林牧渔类、农学类；
一级学科：农业经济管理类、农林经济管理类","1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-89391530,
95,临海市上盘镇人民政府,临海市上盘镇农业综合服务中心,"公益一类
财政全额补助",农科,管理,1,专科及以上,,"学科门类：农林牧渔类、农学类；
一级学科：农业经济管理类、农林经济管理类","1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85778098,
96,临海市永丰镇人民政府,临海市永丰镇农业综合服务中心,"公益一类
财政全额补助",农机,专技,1,本科及以上,,"一级学科：农业工程类、机械类、机械工程类；
二级学科：自动化","1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-89367203,
97,临海市永丰镇人民政府,临海市永丰镇农业综合服务中心,"公益一类
财政全额补助",林特（办公室文秘）,管理,1,本科及以上,,一级学科：中国语言文学类、新闻传播学类,"1.35周岁及以下；
2.户籍不限；
3.面向2020年全日制普通高校应届毕业生。",《综合素质测试》占50%,结构化面试占50%,,0576-89367203,
98,临海市括苍镇人民政府,临海市括苍镇农业综合服务中心,"公益一类
财政全额补助",林特,专技,1,本科及以上,,专业不限,"1.35周岁及以下；
2.户籍不限；
3.面向2020年全日制普通高校应届毕业生。",《综合素质测试》占50%,结构化面试占50%,,0576-85885358,
99,临海市括苍镇人民政府,临海市括苍镇农业综合服务中心,"公益一类
财政全额补助",农科,专技,1,本科及以上,,"学科门类：农学类；
一级学科：农林经济管理类、农业经济管理类","1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85885358,
100,临海市括苍镇人民政府,临海市括苍镇社会事业服务中心,"公益一类
财政全额补助",建设,专技,1,本科及以上,,"一级学科:土建类、土木类、土木工程类；
二级学科：工程管理","1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85885358,
101,临海市河头镇人民政府,临海市河头镇农业综合服务中心,"公益一类
财政全额补助",林特,专技,1,专科及以上,,一级学科：林学类、森林资源类、林业工程类、林业技术类,"1.35周岁以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-89116033,
102,临海市河头镇人民政府,临海市河头镇农业综合服务中心,"公益一类
财政全额补助",农机,专技,1,专科及以上,,"一级学科：机械设计制造类、机电设备类、农业工程类、机械类、机械工程类；
二级学科：自动化","1.35周岁以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-89116033,
103,临海市教育局,临海市教育局下属学校,"公益一类
财政全额补助",会计,专技,8,本科及以上,,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学、金融学、金融工程,"1.35周岁及以下；
2.临海范围；
3.取得初级及以上专业技术任职资格。",《综合素质测试》占30%,结构化面试占30%,技能测试占40%,0576-85311961,按总成绩从高分到低分依次择岗。
104,临海市教育局,临海市回浦中学,"公益二类
财政全额补助",健美操教练员兼体育教师,专技,1,全日制普通高校本科及以上,,专业不限,"1.35周岁及以下；
2.户籍不限；
3.获国家级运动健将（健美操项目）；
4.录（聘）用后2年内取得相应教师资格证或教练员证，否则，予以解聘。",《综合素质测试》占30%,结构化面试占30%,技能测试占40%,0576-85380118,
105,临海市教育局,临海市回浦中学,"公益二类
财政全额补助",篮球教练员兼体育教师,专技,1,全日制普通高校本科及以上,,专业不限,"1.35周岁及以下；
2.户籍不限；
3.获国家一级运动员或运动健将（篮球项目）、曾获全国大学生篮球联赛前八名；
4.录（聘）用后2年内取得相应教师资格证或教练员证，否则，予以解聘。",《综合素质测试》占30%,结构化面试占30%,技能测试占40%,0576-85380118,
106,临海市卫生健康局,临海市爱国卫生和无偿献血发展中心（临海市老年活动中心）,"公益一类
财政全额补助",临床医生,专技,1,本科及以上,,临床医学,"1.35周岁及以下；
2.临海范围；
3.须取得执业医师资格，执业范围为内科、外科、全科医学或中西医结合、急救医学；
4.取得中级及以上专业技术任职资格的年龄放宽到40周岁。",《临床医学》,,,0576-85171277,
107,临海市卫生健康局,"临海市卫生应急和
计划生育监察服务中心","公益一类
财政全额补助",文秘,管理,1,本科及以上,学士及以上,"一级学科：中国语言文学类；
二级学科：新闻学","1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85171277,
108,临海市卫生健康局,"临海市卫生应急和
计划生育监察服务中心","公益一类
财政全额补助",财务管理,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学、金融学、金融工程,"1.35周岁及以下；
2.台州范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85171277,
109,临海市卫生健康局,"临海市卫生应急和
计划生育监察服务中心","公益一类
财政全额补助",预防医学,专技,1,全日制普通高校本科及以上,学士及以上,预防医学、流行病与卫生统计学、劳动卫生与环境卫生学,"1.35周岁及以下；
2.台州范围；
3.须毕业于医学院校。",《预防医学》,,,0576-85171277,
110,临海市卫生健康局,临海市卫生进修学校,"公益二类
财政全额补助",护理教师,专技,1,全日制普通高校本科及以上,学士及以上,护理学类,"1.35周岁及以下；
2.台州范围；
3.须取得护士执业资格证；
4.录用后，两年内须取得相应教师资格证，否则予以解聘。",《护理学》占50%,结构化面试占50%,,0576-85114308,
111,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",病案室,专技,1,全日制普通高校专科及以上,,卫生信息管理、病案信息技术、卫生统计学,"1.35周岁及以下；
2.台州范围；
3.2018年及以前毕业生须取得病案信息初级及以上专业技术任职资格。",《综合素质测试》占50%,结构化面试占50%,,0576-85170088,
112,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",预防医学,专技,1,全日制普通高校本科及以上,,预防医学、流行病与卫生统计学、劳动卫生与环境卫生学,"1.35周岁及以下；
2.临海范围；
3.须毕业于医学院校。",《预防医学》,,,0576-85170088,
113,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",计算机管理,专技,1,本科及以上,学士及以上,"一级学科：计算机类、计算机科学与技术类；
二级学科;通信工程、电子信息工程、电子科学与技术、信息工程、信息科学技术、电子信息科学与技术、信息管理与信息系统、信息物理工程、通信与信息系统、信号与信息处理","1.35周岁及以下；
2.台州范围；
3.在二级及以上综合性医院从事医疗信息化工作2周年及以上(2020年全日制普通高校毕业生不作要求)。",《综合素质测试》占50%,结构化面试占50%,,0576-85170088,
114,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",财务管理,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学、金融学、金融工程,"1.35周岁及以下；
2.临海范围。",《综合素质测试》占50%,结构化面试占50%,,0576-85170088,
115,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",检验科,专技,1,全日制普通高校本科及以上,,医学检验、临床检验诊断学、医学检验技术,"1.35周岁及以下；
2.临海范围；
3.2018年及以前毕业生须取得初级及以上专业技术任职资格。",《医学检验》,,,0576-85170088,
116,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",药剂科,专技,1,全日制普通高校本科及以上,,药学、药理学、临床药学、应用药学,"1.35周岁及以下；
2.临海范围；
3.2018年及以前毕业生须取得初级及以上专业技术任职资格。",《药学》,,,0576-85170088,
117,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",中药房,专技,1,全日制普通高校本科及以上,,中药学、中药药理学、天然药学、天然药物（中药）,"1.35周岁及以下；
2.临海范围；
3.2018年及以前毕业生须取得初级及以上专业技术任职资格。",《中药学》,,,0576-85170088,
118,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",心电图室,专技,1,全日制普通高校本科及以上,,临床医学、医学影像学,"1.35周岁及以下；
2.户籍不限；
3.2017年及以前毕业生须取得执业医师资格；
4.已取得执业医师资格的学历放宽到全日制普通高校专科及以上。",《临床医学》,,,0576-85170088,
119,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",B超室（医学影像诊断）,专技,1,全日制普通高校本科及以上,,医学影像诊断、医学影像学,"1.35周岁及以下；
2.浙江范围；
3.2017年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85170088,
120,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",放射科（医学影像诊断）,专技,2,全日制普通高校本科及以上,,临床医学、医学影像诊断、医学影像学,"1.35周岁及以下；
2.户籍不限；
3.2017年及以前毕业生须取得执业医师资格；                              4.已取得执业医师资格的学历放宽到全日制普通高校专科及以上。",《临床医学》,,,0576-85170088,
121,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",放射科（医学影像技术）A,专技,1,全日制普通高校专科及以上,,医学影像技术,"1.男性；
2.35周岁及以下；
3.临海范围；
4.2018年及以前毕业生须取得初级及以上专业技术任职资格；                       
5.具有二级及以上综合性医院影像技术工作经历(2020年全日制普通高校毕业生不作要求)。",《临床医学》,,,0576-85170088,
122,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",放射科（医学影像技术）B,专技,1,全日制普通高校专科及以上,,医学影像技术,"1.女性；
2.35周岁及以下；
3.临海范围；
4.2018年及以前毕业生须取得初级及以上专业技术任职资格；                       
5.具有二级及以上综合性医院影像技术工作经历(2020年全日制普通高校毕业生不作要求)。",《临床医学》,,,0576-85170088,
123,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助","病理科
（病理诊断）",专技,1,全日制普通高校本科及以上,,临床医学、病理诊断学、病理学、病理生理学,"1.35周岁及以下；
2.户籍不限；
3.2017年及以前毕业生须取得执业医师资格；
4.取得执业医师资格的，学历放宽到全日制普通高校专科及以上。",《临床医学》,,,0576-85170088,
124,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",口腔科,专技,2,全日制普通高校本科及以上,,口腔医学,"1.35周岁及以下；
2.临海范围；
3.取得执业医师资格和住院医师规范化培训合格证。",《口腔医学》,,,0576-85170088,
125,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",临床医生A,专技,15,全日制普通高校本科及以上,,临床医学,"1.35周岁及以下；
2.浙江范围；
3.2017年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85170088,
126,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助","临床医生
(派驻市公安局看守所门诊部）A",专技,1,本科及以上,,临床医学、中西医结合、中西医临床医学、全科医学,"1.男性；
2.40周岁及以下；
3.户籍不限；
4.取得执业医师资格，执业范围为内科、外科、全科医学或中西医结合、急救医学。",《临床医学》,,,0576-85170088,
127,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助","临床医生
(派驻市公安局看守所门诊部）B",专技,1,本科及以上,,临床医学、中西医结合、中西医临床医学、全科医学,"1.女性；
2.40周岁及以下；
3.户籍不限；
4.取得执业医师资格，执业范围为内科、外科、全科医学或中西医结合、急救医学。",《临床医学》,,,0576-85170088,
128,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",精神医学,专技,1,全日制普通高校本科及以上,,精神医学、精神病与精神卫生学,"1.35周岁及以下；
2.户籍不限；
3.2017年及以前毕业生须取得执业医师资格；
4.取得中级及以上专业技术任职资格的年龄放宽至40周岁及以下。",《精神医学》,,,0576-85170088,
129,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",中医,专技,1,全日制普通高校本科及以上,,中医学,"1.35周岁及以下；
2.临海范围；
3.2018年及以前毕业生须取得执业医师资格。",《中医学》,,,0576-85170088,
130,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",中西医结合,专技,1,本科及以上,,中西医结合、中西医临床医学、中西医结合临床医学方向,"1.35周岁及以下；
2.临海范围；
3.取得执业医师资格；                   4.在二级及以上综合性医院从事临床工作2周年及以上；
5.取得中级及以上专业技术任职资格的年龄放宽至40周岁及以下。",《临床医学》,,,0576-85170088,
131,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",护理A,专技,8,全日制普通高校本科及以上,,护理学类,"1.30周岁及以下；
2.台州范围；
3.非2020年毕业生须取得护士执业资格。",《护理学》,,,0576-85170088,
132,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",护理B,专技,20,专科及以上,,护理学、护理、高级护理、康复护理、社区护理、涉外护理、中西医结合护理、口腔护理,"1.30周岁及以下；
2.临海范围；
3.非2020年毕业生须取得护士执业资格。",《护理学》,,,0576-85170088,
133,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",助产,专技,1,全日制普通高校专科及以上,,助产、助产学、高级助产、护理学（助产方向）,"1.30周岁及以下；
2.台州范围；
3.面向2020年全日制普通高校应届毕业生。",《护理学》,,,0576-85170088,
134,临海市卫生健康局,临海市第一人民医院医共体（临海市第一人民医院）,"公益二类
财政适当补助",卫生管理,专技,1,本科及以上,学士及以上,公共事业管理、卫生事业管理,"1.35周岁及以下；
2.台州范围；
3.公共事业管理专业须毕业于医学院校。",《综合素质测试》占50%,结构化面试占50%,,0576-85170088,
135,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",妇产科,专技,1,本科及以上,,临床医学、妇产科学,"1.35周岁及以下；
2.台州范围；
3.取得执业医师资格且具有住院医师规范化培训合格证或主治医师及以上专业技术任职资格；
4.主治医师及以上专业技术任职资格的须有二级甲等及以上医院从事妇产科工作经历。",《临床医学》,,,0576-85529273,
136,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",院前急救,专技,1,全日制普通高校专科及以上,,临床医学、中西医结合、中西医临床医学、中医骨伤,"1.35周岁及以下；
2.浙江范围；
3.2017年及以前毕业生须取得执业助理医师及以上专业技术任职资格；                 
4.取得执业医师资格的年龄放宽到40周岁及以下(紧缺专业）；                       
5.该岗位工作强度大，在急救过程中需要较强的体能，适合男性报考。",《临床医学》,,,0576-85529273,
137,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",内分泌科,专技,1,本科及以上,,临床医学、内科学,"1.35周岁及以下；
2.户籍不限；
3.取得执业医师资格且具有住院医师规范化培训合格证或主治医师及以上专业技术任职资格；
4.取得主治医师及以上专业技术任职资格的年龄放宽到40周岁；
5.有二级甲等及以上医院从事内分泌科工作经历。",《临床医学》,,,0576-85529273,
138,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",心内科,专技,1,本科及以上,,临床医学、重症医学,"1.40周岁及以下；
2.户籍不限；
3.取得主治医师及以上专业技术任职资格；
4、有二级甲等及以上医院从事内科工作经历。",《临床医学》,,,0576-85529273,
139,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",骨科,专技,1,本科及以上,,临床医学,"1.40周岁及以下；
2.户籍不限；
3.取得主治医师及以上专业技术任职资格；
4.有二级甲等及以上医院从事骨科工作经历。",《临床医学》,,,0576-85529273,
140,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",肛肠科,专技,1,全日制普通高校本科及以上,,临床医学、外科学,"1.40周岁及以下；
2.户籍不限；
3.取得执业医师资格且具有住院医师规范化培训合格证或主治医师及以上专业技术任职资格；
4.主治医师及以上专业技术任职资格的须有二级甲等及以上医院从事肛肠科工作经历。",《临床医学》,,,0576-85529273,
141,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",急诊外科,专技,1,本科及以上,,临床医学,"1.40周岁及以下；
2.户籍不限；
3.取得主治医师及以上专业技术任职资格；
4.有二级甲等及以上医院从事外科工作经历。",《临床医学》,,,0576-85529273,
142,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",临床医生A,专技,18,全日制普通高校本科及以上,,临床医学,"1.35周岁及以下；
2.户籍不限；
3.2016及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85529273,
143,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",临床医生B,专技,2,本科及以上,,临床医学、中西医结合、中西医临床医学、全科医学,"1.35周岁及以下；
2.户籍不限；
3.取得执业医师资格，执业范围为内科、外科、全科医学、中医科。",《临床医学》,,,0576-85529273,
144,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",儿科,专技,2,全日制普通高校本科及以上,,"临床医学、
儿科学","1.35周岁及以下；
2.户籍不限；
3.2016年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85529273,
145,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",口腔科A,专技,1,全日制普通高校本科及以上,,口腔医学,"1.35周岁及以下；
2.台州范围；
3.2017年及以前毕业生须取得执业医师资格。",《口腔医学》,,,0576-85529273,
146,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",口腔科B,专技,1,全日制普通高校本科及以上,,口腔医学,"1.35周岁及以下；
2.台州范围；
3.须取得执业医师资格。",《口腔医学》,,,0576-85529273,
147,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",眼科,专技,1,全日制普通高校本科及以上,,临床医学、眼视光学,"1.35周岁及以下；
2.临海范围；
3.2017年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85529273,
148,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",护理A,专技,8,专科及以上,,护理学、护理、高级护理、康复护理、社区护理、涉外护理、中西医结合护理,"1.30周岁及以下；
2.临海范围；
3.2018年及以前毕业生须取得护士执业资格并有1周年及以上二级及以上医院护理工作经历。",《护理学》,,,0576-85529273,
149,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",护理B,专技,5,全日制普通高校专科及以上,,护理学、护理、高级护理、康复护理、社区护理、涉外护理、中西医结合护理,"1.30周岁及以下；
2.台州范围；
3.面向2020年全日制普通高校应届毕业生。",《护理学》,,,0576-85529273,
150,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",助产,专技,2,全日制普通高校专科及以上,,助产、助产学、高级助产、护理学（助产方向）,"1.30周岁及以下；
2.临海范围；
3.2017年及以前毕业生须取得护士执业资格并有二级及以上医院临床助产工作经历。",《护理学》,,,0576-85529273,
151,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",心电图室,专技,1,全日制普通高校本科及以上,,临床医学、医学影像学,"1.35周岁及以下；
2.户籍不限；
3.2015年及以前毕业生须取得执业医师资格；
4.已取得执业助理医师及以上资格的学历放宽到全日制普通高校专科。",《临床医学》,,,0576-85529273,
152,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",药剂科,专技,2,全日制普通高校本科及以上,,药学、药理学、临床药学、应用药学,"1.35周岁及以下；
2.临海范围；
3.2017年及以前毕业生须取得初级及以上专业技术任职资格。",《药学》,,,0576-85529273,
153,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",中药房,专技,1,全日制普通高校专科及以上,,中药学、中药药理学、天然药学、天然药物（中药）,"1.35周岁及以下；
2.临海范围。",《中药学》,,,0576-85529273,
154,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",病案室,专技,1,全日制普通高校专科及以上,,卫生信息管理、病案信息技术、卫生统计学,"1.35周岁及以下；
2.浙江范围；
3.2018年及以前毕业生须取得病案信息初级及以上专业技术任职资格。",《综合素质测试》占50%,结构化面试占50%,,0576-85529273,
155,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",脑电图室,专技,1,全日制普通高校专科及以上,,临床医学,"1.35周岁及以下；
2.户籍不限；
3.2017年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85529273,
156,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",检验科A,专技,1,全日制普通高校本科及以上,,医学检验、临床检验诊断学、医学检验技术,"1.男性；
2.35周岁及以下；
3.台州范围。",《医学检验》,,,0576-85529273,
157,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",检验科B,专技,1,全日制普通高校本科及以上,,医学检验、临床检验诊断学、医学检验技术,"1.女性；
2.35周岁及以下；
3.台州范围。",《医学检验》,,,0576-85529273,
158,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",麻醉科,专技,1,全日制普通高校本科及以上,,麻醉学、临床医学,"1.35周岁及以下；
2.户籍不限；
3.2017年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85529273,
159,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助","超声科
（医学影像诊断）",专技,2,全日制普通高校本科及以上,,临床医学、医学影像诊断、医学影像学,"1.35周岁及以下；
2.户籍不限；
3.2017年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85529273,
160,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助","放射科
（医学影像诊断）",专技,2,全日制普通高校本科及以上,,临床医学、医学影像诊断、医学影像学,"1.35周岁及以下；
2.户籍不限；
3.2017年及以前毕业生须取得执业医师资格。",《临床医学》,,,0576-85529273,
161,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",财务管理,专技,1,本科及以上,学士及以上,会计学、会计、财务管理、财务会计、财务会计教育、企业财务管理、审计、审计学、金融学、金融工程,"1.35周岁及以下；
2.临海范围；
3.非2020年毕业生具有二级及以上医院1周年及以上财务管理工作经历。",《综合素质测试》占50%,结构化面试占50%,,0576-85529273,
162,临海市卫生健康局,临海市第二人民医院医共体（临海市第二人民医院）,"公益二类
财政适当补助",卫生管理,专技,2,本科及以上,学士及以上,人力资源管理、公共事业管理、卫生事业管理,"1.35周岁及以下；
2.台州范围；
3.公共事业管理专业须毕业于医学院校；
4.大学英语四级425分及以上；
5.须取得相关专业初级及以上专业技术任职资格（2020年全日制普通高校毕业生不作要求）。",《综合素质测试》占50%,结构化面试占50%,,0576-85529273,
